measured,initial value,Simulated,16,24,32,40,60
0,0.0401,0.483,0.483,0.483,0.483,0.483,0.483
1,0.0363,0.483,0.483,0.483,0.483,0.483,0.483
2,0.0341,0.483,0.483,0.483,0.483,0.483,0.483
3,0.0302,0.483,0.483,0.483,0.483,0.483,0.483
4,0.0281,0.483,0.483,0.483,0.483,0.483,0.483
5,0.0261,0.292,0.292,0.292,0.292,0.292,0.292
6,0.0241,0.292,0.292,0.292,0.292,0.292,0.292
7,0.02,0.292,0.292,0.292,0.292,0.292,0.292
8,0.0191,0.292,0.292,0.292,0.292,0.292,0.292
9,0.018,0.292,0.292,0.292,0.292,0.292,0.292
10,0.0171,0.292,0.292,0.292,0.292,0.292,0.292
11,0.0151,0.292,0.292,0.292,0.292,0.292,0.292
12,0.0171,0.292,0.292,0.292,0.292,0.292,0.292
13,0.02,0.292,0.292,0.292,0.292,0.292,0.292
14,0.0221,0.379,0.379,0.379,0.379,0.379,0.379
15,0.0241,0.379,0.379,0.379,0.379,0.379,0.379
16,0.026,0.3784,0.379,0.379,0.379,0.379,0.379
17,0.0282,0.3759,0.379,0.379,0.379,0.379,0.379
18,0.03,0.3655,0.379,0.379,0.379,0.379,0.379
19,0.0322,0.3206,0.379,0.379,0.379,0.379,0.379
20,0.0341,0.1936,0.379,0.379,0.379,0.379,0.379
21,0.0362,0.0541,0.379,0.379,0.379,0.379,0.379
22,0.0382,0.038,0.3789,0.379,0.379,0.379,0.379
23,0.0401,0.0402,0.3785,0.3786,0.3786,0.3786,0.3786
24,0.0401,0.0406,0.3762,0.3768,0.3768,0.3768,0.3768
25,0.0403,0.0401,0.3837,0.3853,0.3853,0.3853,0.3853
26,0.0403,0.0404,0.3827,0.3855,0.3855,0.3855,0.3855
27,0.0403,0.0403,0.3808,0.3857,0.3857,0.3857,0.3857
28,0.0384,0.0382,0.3771,0.386,0.3861,0.3861,0.3861
29,0.0363,0.0362,0.3692,0.3866,0.3866,0.3866,0.3866
30,0.0323,0.0328,0.35,0.3873,0.3874,0.3874,0.3874
31,0.0303,0.0297,0.2532,0.3877,0.3878,0.3878,0.3878
32,0.0343,0.0346,0.0961,0.3877,0.3878,0.3878,0.3878
33,0.0402,0.0402,0.0404,0.3877,0.3879,0.3879,0.3879
34,0.0424,0.0425,0.0425,0.3876,0.388,0.388,0.388
35,0.0444,0.0443,0.0442,0.3876,0.3881,0.3881,0.3881
36,0.046,0.0469,0.0472,0.4092,0.4102,0.4102,0.4102
37,0.0504,0.0502,0.0502,0.4085,0.4102,0.4102,0.4102
38,0.0532,0.0533,0.0533,0.4068,0.4102,0.4102,0.4102
39,0.0563,0.0566,0.0565,0.403,0.4102,0.4102,0.4102
40,0.0585,0.0585,0.058,0.3923,0.4102,0.4102,0.4102
41,0.0605,0.056,0.053,0.3536,0.4102,0.4102,0.4102
42,0.058,0.0629,0.0658,0.2853,0.4015,0.4015,0.4015
43,0.0563,0.057,0.058,0.1363,0.3978,0.3978,0.3978
44,0.0545,0.0621,0.065,0.0676,0.3841,0.3843,0.3843
45,0.0522,0.0446,0.0419,0.0405,0.2983,0.2987,0.2987
46,0.0503,0.0474,0.0452,0.0436,0.2986,0.2993,0.2993
47,0.0402,0.0425,0.0427,0.0424,0.2992,0.3002,0.3002
48,0.0382,0.0389,0.0394,0.0397,0.3001,0.3016,0.3016
49,0.036,0.0363,0.0365,0.0368,0.3016,0.3037,0.3038
50,0.0342,0.0343,0.0344,0.0346,0.3039,0.3066,0.3066
51,0.0321,0.0327,0.0332,0.0336,0.3071,0.3104,0.3104
52,0.0321,0.0334,0.0342,0.0347,0.3112,0.3146,0.3146
53,0.0322,0.0311,0.0302,0.0295,0.2989,0.3056,0.3056
54,0.0303,0.0302,0.0302,0.0302,0.2913,0.3055,0.3055
55,0.0303,0.0301,0.0301,0.0301,0.2693,0.3053,0.3053
56,0.0303,0.0301,0.0301,0.0301,0.1993,0.3049,0.3049
57,0.0303,0.0301,0.0301,0.0301,0.0813,0.3041,0.3041
58,0.0303,0.03,0.0299,0.0298,0.0302,0.3024,0.3024
59,0.0303,0.0305,0.0306,0.0307,0.0307,0.298,0.2981
60,0.0303,0.0304,0.0304,0.0304,0.0304,0.2979,0.2979
61,0.0303,0.0304,0.0304,0.0304,0.0304,0.2976,0.2977
62,0.0303,0.0304,0.0304,0.0304,0.0304,0.2971,0.2972
63,0.0303,0.0304,0.0304,0.0305,0.0305,0.296,0.2964
64,0.0303,0.0307,0.0309,0.031,0.031,0.2942,0.2948
65,0.0341,0.0333,0.0327,0.0323,0.0319,0.2905,0.2917
66,0.0383,0.0391,0.0396,0.0399,0.0401,0.2901,0.2921
67,0.0401,0.0401,0.0401,0.0401,0.0401,0.2867,0.2905
68,0.0401,0.0404,0.0404,0.0405,0.0406,0.2801,0.2872
69,0.0401,0.0409,0.0413,0.0415,0.0416,0.2642,0.28
70,0.0404,0.0397,0.0393,0.039,0.0389,0.2335,0.2787
71,0.0404,0.0403,0.0401,0.04,0.0398,0.1823,0.2787
72,0.0404,0.0403,0.0403,0.0403,0.0402,0.0996,0.2786
73,0.0404,0.0403,0.0403,0.0403,0.0403,0.043,0.2785
74,0.0404,0.0403,0.0403,0.0402,0.0401,0.04,0.2784
75,0.0404,0.0402,0.0399,0.0396,0.0394,0.0392,0.2781
76,0.0404,0.0388,0.0379,0.0375,0.0373,0.0373,0.2776
77,0.04,0.0418,0.0428,0.0435,0.044,0.0445,0.2655
78,0.04,0.0408,0.0421,0.0433,0.0442,0.0449,0.263
79,0.04,0.0441,0.0455,0.0461,0.0465,0.0468,0.2579
80,0.0402,0.0364,0.0353,0.0348,0.0346,0.0344,0.2414
81,0.0402,0.0393,0.0382,0.0375,0.0371,0.0367,0.2417
82,0.0402,0.0401,0.0396,0.0391,0.0385,0.0382,0.2422
83,0.0402,0.0402,0.0401,0.0398,0.0395,0.0392,0.2431
84,0.0402,0.0402,0.0402,0.0401,0.0399,0.0397,0.2444
85,0.0402,0.0402,0.0401,0.04,0.0399,0.0398,0.2467
86,0.0402,0.0399,0.0398,0.0398,0.0398,0.0398,0.2505
87,0.04,0.0409,0.0412,0.0413,0.0415,0.0416,0.2765
88,0.04,0.0403,0.0405,0.0406,0.0407,0.0408,0.2766
89,0.04,0.0402,0.0403,0.0403,0.0404,0.0405,0.2767
90,0.04,0.0402,0.0402,0.0402,0.0403,0.0403,0.2769
91,0.04,0.0402,0.0402,0.0402,0.0402,0.0402,0.2773
92,0.04,0.0402,0.0402,0.0402,0.0402,0.0402,0.278
93,0.04,0.0402,0.0402,0.0402,0.0402,0.0402,0.2793
94,0.04,0.0402,0.0402,0.0402,0.0402,0.0402,0.2814
95,0.04,0.0402,0.0402,0.0402,0.0402,0.0402,0.2848
96,0.04,0.0401,0.0401,0.0402,0.0402,0.0402,0.2901
97,0.0403,0.0404,0.0405,0.0406,0.0407,0.0407,0.3078
98,0.0403,0.0403,0.0403,0.0404,0.0404,0.0404,0.3078
99,0.0403,0.0403,0.0403,0.0403,0.0403,0.0403,0.3078
100,0.0403,0.0403,0.0403,0.0403,0.0403,0.0403,0.3078