measured_values,Initial_values,8min,16min,24min,32min,40min,60min
1,0.042865607,0.470696813,0.470696813,0.46782624,0.470377683,0.471973775,0.48365859
11,0.01274473,0.263271858,0.286878652,0.289044788,0.290201403,0.291938072,0.298469122
21,0.036624128,0.220754438,0.379925635,0.37885668,0.377940922,0.378551377,0.379620157
31,0.032599037,0.033816623,0.277673675,0.377635769,0.386352184,0.388499229,0.389113114
41,0.06117127,0.061832663,0.091910245,0.399887885,0.404833358,0.40529763,0.403441192
51,0.029665978,0.029395928,0.029665978,0.124218551,0.30810036,0.316467602,0.319856644
61,0.031173252,0.030703709,0.030891371,0.031342603,0.208097276,0.271666051,0.280974737
71,0.036905172,0.036769446,0.03687608,0.03711864,0.038619198,0.209857537,0.236886164
81,0.032921151,0.03309926,0.03300127,0.033259767,0.033572425,0.046314469,0.223386912
91,0.035391163,0.035672387,0.035572534,0.035654227,0.035608836,0.035835932,0.259306845
100,0.037984513,0.038004013,0.037955266,0.037955266,0.037896786,0.038091785,0.2926623